,,,,,,,Anomaly In Fuel Consumption ,,,,,,,
,,,,,,,,,,,,,,
Sl.No.,Driver's code,Truck,Tot.Fuel ,Odo - Min,Odo - Max,Total Dist. Driven,MPG Truck/Driver,Distance ,Tot.Fuel Burned,MPG,Fuel Delta - (Fuel Purchased -Fuel Burned),,,
,,,Purchased,,,,,,,,,,,
,,,,,,,,,,,,,,
260,ECKS,1957,16421.740,98537,208201.9,109664.9,6.678,84849,12573.2,6.748,3848.540,,,
261,DOBE,2072,5937.880,24198.8,73590.1,49391.3,8.318,15062,2102,7.166,3835.880,,,
262,FISDA,2025,9143.430,42811.9,133321.7,90509.8,9.899,40050,5307.6,7.546,3835.830,,,
263,WARDE,1859,17715.689,0,248580.1,248580.1,14.032,110116,13881,7.933,3834.689,,,
264,BUFB,1799,19846.959,180736,307717.2,126981.2,6.398,105699,16012.6,6.601,3834.359,,,
265,ROWP,1923,18240.709,65166.5,202291.3,137124.8,7.518,104786,14412.5,7.270,3828.209,,,
266,LANWA,1707,7920.480,432744.7,488089.6,55344.9,6.988,29904,4103,7.288,3817.480,,,
267,KEERIC,1907,18452.539,65978.4,193193.9,127215.5,6.894,105092,14640.3,7.178,3812.239,,,
268,STOC,2004,4073.880,157509.8,186258.1,28748.3,7.057,2036,271.9,7.488,3801.980,,,
269,HAZSC,1782,6188.950,335771.4,375372,39600.6,6.399,16129,2390.9,6.746,3798.050,,,
270,JARJA,1778,5272.720,399349.3,433765.2,34415.9,6.527,10231,1479,6.918,3793.720,,,
271,CLAJOE,1765,11254.210,325316.8,397636.1,72319.3,6.426,51285,7462.1,6.873,3792.110,,,
272,GODD,1676,10454.900,419387.7,491371.6,71983.9,6.885,51901,6677.6,7.772,3777.300,,,
273,SCATI,1634,4899.890,540713,570423.1,29710.1,6.063,7676,1131.4,6.785,3768.490,,,
274,MARD01,1623,7617.600,525815.8,578032.4,52216.6,6.855,26573,3850.9,6.900,3766.700,,,
275,KESK,2019,19761.881,446.7,142976.5,142529.8,7.212,114297,16003.6,7.142,3758.281,,,
276,SANED,1618,5820.810,188771.8,572282.7,383510.9,65.886,13930,2064.8,6.746,3756.010,,,
277,DELK,2066,11781.040,17.7,83633,83615.3,7.097,58728,8034.1,7.310,3746.940,,,
278,LEBK,2060,15486.020,3171,106843.9,103672.9,6.695,83698,11749.4,7.124,3736.620,,,
279,GRIA,1655,7941.390,154744.2,616848.4,462104.2,58.189,30186,4207.2,7.175,3734.190,,,
280,LAWBR,1727,4949.420,382738.6,415629.1,32890.5,6.645,8538,1220.3,6.997,3729.120,,,
281,BRARAY,1860,6098.960,247602.1,289758.2,42156.1,6.912,17403,2410.7,7.219,3688.260,,,
282,OAKR,2097,4589.370,4556.3,35443.4,30887.1,6.730,6258,909,6.884,3680.370,,,
283,WRAS,1831,7997.450,201033.4,256127.2,55093.8,6.889,31371,4321.9,7.259,3675.550,,,
284,PETDA,1705,5822.680,438835,479365.5,40530.5,6.961,15377,2149.2,7.155,3673.480,,,
285,DUNM,2075,8823.250,17901,69062.6,51161.6,5.798,39645,5159.4,7.684,3663.850,,,
286,HOEL,1819,4063.280,318014.2,343851.4,25837.2,6.359,2768,399.7,6.925,3663.580,,,
287,CLOR,2041,16501.189,447.4,117989.4,117542,7.123,92968,12840.4,7.240,3660.789,,,
288,WILR02,2108,3937.170,1367.3,29931.1,28563.8,7.255,2195,293.8,7.471,3643.370,,,
289,SMIE,1929,17523.539,35998.7,193239.6,157240.9,8.973,102009,13892.1,7.343,3631.439,,,
290,BUSJO,1630,5562.690,523590.9,561688.4,38097.5,6.849,14196,1958.3,7.249,3604.390,,,
291,HAYA,1793,7425.220,293537.7,345972.7,52435,7.062,26981,3826.5,7.051,3598.720,,,
292,SHIJO,2114,3598.950,445.6,25536.6,25091,6.972,45,7.6,5.921,3591.350,,,
293,BALDO,2087,3786.060,6904.6,33502.9,26598.3,7.025,1534,196.1,7.823,3589.960,,,
294,BULR,1639,19036.150,461233.7,585307.2,124073.5,6.518,106588,15482.9,6.884,3553.250,,,
295,HOUW,1990,18978.850,41083.2,184591,143507.8,7.561,119518,15426.3,7.748,3552.550,,,
296,RIFJ,1684,12535.700,388495.4,477446.2,88950.8,7.096,65310,8999.9,7.257,3535.800,,,
297,MALBO,1914,21191.750,82312.2,247569.1,165256.9,7.798,134266,17656,7.605,3535.750,,,
298,PARDON,1698,8479.260,399668.1,462788.8,63120.7,7.444,38563,4971.9,7.756,3507.360,,,
299,DILDA,2054,6731.100,63839.2,110968.1,47128.9,7.002,23432,3245.1,7.221,3486.000,,,
300,FARMI,1962,5110.190,156959.6,193623.5,36663.9,7.175,12049,1636.8,7.361,3473.390,,,
301,CANK,2032,15640.800,15.7,114106.3,114090.6,7.294,89298,12176.1,7.334,3464.700,,,
302,HOLC,1744,5769.410,421641,461035.6,39394.6,6.828,16575,2310.8,7.173,3458.610,,,
303,WYNF,2077,6695.530,2157.9,53393.5,51235.6,7.652,24766,3249.9,7.621,3445.630,,,
304,COURI,2042,15120.810,486.3,107604.1,107117.8,7.084,84475,11675.7,7.235,3445.110,,,
305,PLAA,1862,4257.780,222911.4,252803.6,29892.2,7.021,5985,826.3,7.243,3431.480,,,
306,GRAJU,2099,3471.710,886.8,26146.5,25259.7,7.276,372,62.3,5.971,3409.410,,,
307,HODJE,2006,19994.930,1566.2,154201.2,152635,7.634,121492,16623.2,7.309,3371.730,,,
308,COOMI,1940,18329.270,63184.5,193149.6,129965.1,7.091,108220,14961,7.233,3368.270,,,
309,COOLAW,1971,9546.450,111194.7,175234,64039.3,6.708,43402,6181,7.022,3365.450,,,
310,WILT01,304,18173.350,181531.2,306788.3,125257.1,6.892,109636,14826.6,7.395,3346.750,,,
311,MAND,1815,3301.820,285856.1,308270.7,22414.6,6.789,9,2.8,3.214,3299.020,,,
312,SHIM,2112,3525.230,558.9,26134.3,25575.4,7.255,1995,244.3,8.166,3280.930,,,
313,MULC,1632,5361.400,0,545323.2,545323.2,101.713,14053,2092,6.717,3269.400,,,
314,DIVH,2100,3520.850,1686.3,26055.6,24369.3,6.921,2230,287,7.770,3233.850,,,
315,SHADE,2090,5582.050,13931.5,47928.9,33997.4,6.090,17055,2359.2,7.229,3222.850,,,
316,MART01,1796,6385.530,287340.6,332592.2,45251.6,7.087,23090,3182.2,7.256,3203.330,,,
317,STEGA,1847,19736.400,134266.8,278116.1,143849.3,7.289,124470,16539.3,7.526,3197.100,,,
318,CARRE,1638,13610.990,483805.3,581010.5,97205.2,7.142,74934,10419,7.192,3191.990,,,
319,HIGK,1757,22154.240,365297.2,514318.4,149021.2,6.727,137639,18972,7.255,3182.240,,,
320,ELLTH,2059,17039.000,838.7,120377,119538.3,7.016,99607,13897.4,7.167,3141.600,,,
321,BAGJ,1994,5985.880,146304.3,189542.1,43237.8,7.223,21035,2880.3,7.303,3105.580,,,
322,MYEM,1944,4617.870,133931.7,165257.8,31326.1,6.784,10769,1514.5,7.111,3103.370,,,
323,WELJOS,1700,4830.550,445383.8,475094.4,29710.6,6.151,11602,1732.7,6.696,3097.850,,,
324,MARWI,1809,18876.760,137284.1,273527.9,136243.8,7.218,113421,15781.9,7.187,3094.860,,,
325,PEAD,2046,3767.790,68779.2,94113.8,25334.6,6.724,5171,683.9,7.561,3083.890,,,
326,NIXD,1759,3587.480,421408.5,445204.6,23796.1,6.633,3976,526.2,7.556,3061.280,,,
327,WEIJ,2055,14129.290,1501.2,105159.8,103658.6,7.336,83013,11113.4,7.470,3015.890,,,
328,HERMI,1760,6685.290,381556.7,427621.6,46064.9,6.890,26925,3750.7,7.179,2934.590,,,
329,WAGJI,2080,4853.530,53.4,39755.1,39701.7,8.180,15217,1987.2,7.658,2866.330,,,
330,SMIMIC,1841,3037.990,184615.3,205081.7,20466.4,6.737,1412,176.6,7.995,2861.390,,,
331,BROBO,2052,13235.460,2186.8,97252.8,95066,7.183,77063,10374.3,7.428,2861.160,,,
332,DIXP,1668,9726.770,504411.5,569911.8,65500.3,6.734,49250,6876.3,7.162,2850.470,,,
333,GANJ,1825,19829.699,155663.4,303369.1,147705.7,7.449,130237,17021.5,7.651,2808.199,,,
334,DIXGR,1739,7401.110,434821,484169.7,49348.7,6.668,32293,4605.5,7.012,2795.610,,,
335,RICJ01,1998,13499.530,27665.2,125490.8,97825.6,7.247,81350,10708.5,7.597,2791.030,,,
336,MARLO,2047,13976.220,3560.7,105916.9,102356.2,7.324,84069,11196.2,7.509,2780.020,,,
337,POGB,1626,12092.820,521131.1,602610.9,81479.8,6.738,65886,9334.4,7.058,2758.420,,,
338,MARMIS,1672,11537.260,390085.7,468790.3,78704.6,6.822,67251,8781.1,7.659,2756.160,,,
339,GRACHR,1820,11543.690,204045.9,285987.4,81941.5,7.098,64366,8797.4,7.316,2746.290,,,
340,TAYJON,2117,2970.490,451,22659.7,22208.7,7.476,1837,263,6.985,2707.490,,,
341,KERK,1977,4427.580,163369.2,191479.6,28110.4,6.349,11991,1735.7,6.908,2691.880,,,
342,CULH,1980,14535.000,57571.4,159888.5,102317.1,7.039,86878,11862.8,7.324,2672.200,,,
343,KINDAV,1610,4879.020,533470,567868.8,34398.8,7.050,15374,2252,6.827,2627.020,,,
344,BINJA,1754,4830.070,394104.5,425859.2,31754.7,6.574,15907,2214.6,7.183,2615.470,,,
345,CRET,1869,13095.840,71080.3,165387.7,94307.4,7.201,78002,10505.4,7.425,2590.440,,,
346,CROTR,2073,8298.250,18937.9,59831.2,40893.3,4.928,42897,5716.6,7.504,2581.650,,,
347,PAGC,1806,5685.840,262842.6,298907.5,36064.9,6.343,20546,3187.3,6.446,2498.540,,,
348,STARI,1901,18459.840,74235.5,210630.5,136395,7.389,118224,15975.3,7.400,2484.540,,,
349,BOLJ,1910,18539.420,78858.5,214782.9,135924.4,7.332,119065,16080.9,7.404,2458.520,,,
350,PRUH,1931,20017.789,75452.8,228715.6,153262.8,7.656,128768,17621,7.308,2396.789,,,
351,CHAAN,1786,9702.900,323303.2,384251.2,60948,6.281,47518,7309.1,6.501,2393.800,,,
352,WELR01,1678,3353.940,507443.6,529668.4,22224.8,6.626,7536,1003.3,7.511,2350.640,,,
353,FALA,1842,15109.750,136676.3,242882,106205.7,7.029,93559,12777.7,7.322,2332.050,,,
354,GALH,1789,2967.940,309814.3,330274.5,20460.2,6.894,4439,661.4,6.712,2306.540,,,
355,PARMA,1811,18194.699,169967.1,298244.6,128277.5,7.050,116102,15938.3,7.284,2256.399,,,
356,BRERI,1633,3081.820,531979.3,551911.3,19932,6.468,5468,827.2,6.610,2254.620,,,
357,BAKRO,1935,3033.950,196018.1,222922.1,26904,8.868,6276,845.6,7.422,2188.350,,,
358,LILD,1624,2238.750,563725.7,576887.4,13161.7,5.879,549,87,6.310,2151.750,,,
359,EYCK,1937,4035.940,169944.6,200086.6,30142,7.468,14441,1889.5,7.643,2146.440,,,
360,SMIGA,1963,14789.210,56051.6,162685.5,106633.9,7.210,92098,12643.6,7.284,2145.610,,,
361,HARKEV,1717,9681.780,452152.2,520377.5,68225.3,7.047,54239,7594.2,7.142,2087.580,,,
362,WHIJ01,2036,13515.229,15.7,98675.4,98659.7,7.300,84352,11435.1,7.377,2080.129,,,
363,LARR,1933,7657.370,89884.3,143384.5,53500.2,6.987,39575,5628.5,7.031,2028.870,,,
364,BYASH,1878,2382.280,215295.9,231146.9,15851,6.654,2683,380.5,7.051,2001.780,,,
365,HALRAY,306,8156.700,234021.4,284361,50339.6,6.172,40475,6225,6.502,1931.700,,,
366,GRAE,1885,18923.410,92322.4,230940.1,138617.7,7.325,127810,17003.8,7.517,1919.610,,,
367,DUNB,1807,3384.050,284276.1,306132.4,21856.3,6.459,10214,1491.6,6.848,1892.450,,,
368,WILJES,1708,19014.100,347669.1,475477.2,127808.1,6.722,119964,17131.2,7.003,1882.900,,,
369,ROBBR,1675,14499.780,421442.8,518413.4,96970.6,6.688,92265,12642.4,7.298,1857.380,,,
370,MCCMIC,1667,10314.460,474339.8,542224.4,67884.6,6.581,58579,8459.2,6.925,1855.260,,,
371,CARDE,1966,12097.620,33337.8,116935.9,83598.1,6.910,75421,10282.3,7.335,1815.320,,,
372,NARJ,1890,19886.850,57733.2,194919.1,137185.9,6.898,127688,18078.9,7.063,1807.950,,,
