"TRUCK","ACTIVE","SENDFUEL","SENDROUTE","TANKCAP","AVGMPG","SATTYPE"
"  1654         ","Y","Y","Y",230,6.00," "
"  1655         ","Y","Y","Y",230,6.00," "
"  1656         ","Y","Y","Y",230,6.00," "
"  1657         ","Y","Y","Y",230,6.00," "
"  1658         ","Y","Y","Y",230,6.00," "
"  1659         ","Y","Y","Y",230,6.00," "
"  1660         ","Y","Y","Y",230,6.00," "
"  1661         ","Y","Y","Y",230,6.00," "
"  1662         ","Y","Y","Y",230,6.00," "
"  1663         ","Y","Y","Y",230,6.00," "
"  1666         ","Y","Y","Y",230,6.00," "
"  1667         ","Y","Y","Y",230,6.00," "
"  1668         ","Y","Y","Y",230,6.00," "
"  1669         ","Y","Y","Y",230,6.00," "
"  1670         ","Y","Y","Y",230,6.00," "
"  1571         ","Y","Y","Y",230,6.00," "
"  1682         ","Y","Y","Y",200,6.00," "
"  1683         ","Y","Y","Y",200,6.00," "
"  1601         ","Y","Y","Y",250,6.00," "
"  1681         ","Y","Y","Y",200,6.00," "
"  1684         ","Y","Y","Y",200,6.00," "
"  1685         ","Y","Y","Y",200,6.00," "
"  1686         ","Y","Y","Y",200,6.00," "
"  1687         ","Y","Y","Y",200,6.00," "
"  1688         ","Y","Y","Y",200,6.00," "
"  1689         ","Y","Y","Y",200,6.00," "
"  1690         ","Y","Y","Y",200,6.00," "
"  1691         ","Y","Y","Y",200,6.00," "
"  1692         ","Y","Y","Y",200,6.00," "
"  1693         ","Y","Y","Y",200,6.00," "
"  1694         ","Y","Y","Y",200,6.00," "
"  1695         ","Y","Y","Y",200,6.00," "
"  1696         ","Y","Y","Y",200,6.00," "
"  1697         ","Y","Y","Y",200,6.00," "
"  1698         ","Y","Y","Y",200,6.00," "
"  1699         ","Y","Y","Y",200,6.00," "
"  1700         ","Y","Y","Y",200,6.00," "
"  1701         ","Y","Y","Y",200,6.00," "
"  1702         ","Y","Y","Y",200,6.00," "
"  1703         ","Y","Y","Y",200,6.00," "
"  1704         ","Y","Y","Y",200,6.00," "
"  1705         ","Y","Y","Y",200,6.00," "
"  1706         ","Y","Y","Y",200,6.00," "
"  1707         ","Y","Y","Y",200,6.00," "
"  1708         ","Y","Y","Y",200,6.00," "
"  1709         ","Y","Y","Y",200,6.00," "
"  1710         ","Y","Y","Y",200,6.00," "
"  1711         ","Y","Y","Y",200,6.00," "
"  1712         ","Y","Y","Y",200,6.00," "
"  1713         ","Y","Y","Y",200,6.00," "
"  1664         ","Y","Y","Y",230,6.00," "
"  1665         ","Y","Y","Y",230,6.00," "
"  1678         ","Y","Y","Y",235,6.00," "
"  1677         ","Y","Y","Y",235,6.00," "
"  1671         ","Y","Y","Y",235,6.00," "
"  1672         ","Y","Y","Y",235,6.00," "
"  1673         ","Y","Y","Y",235,6.00," "
"  1674         ","Y","Y","Y",235,6.00," "
"  1675         ","Y","Y","Y",235,6.00," "
