UNUNIT,UNYEAR,UNMAKE
1967,2017,KENWORTH    
1968,2017,KENWORTH    
1969,2017,KENWORTH    
1970,2017,KENWORTH    
1971,2017,KENWORTH    
1972,2017,KENWORTH    
1973,2017,KENWORTH    
1974,2017,KENWORTH    
1975,2017,KENWORTH    
1976,2016,KENWORTH    
1977,2017,KENWORTH    
1978,2017,KENWORTH    
1979,2017,KENWORTH    
1980,2017,KENWORTH    
1981,2017,KENWORTH    
1982,2017,KENWORTH    
1983,2017,KENWORTH    
1984,2017,KENWORTH    
1985,2017,KENWORTH    
1986,2017,KENWORTH    
1987,2017,KENWORTH    
1988,2017,KEWORTH     
1989,2017,KENWORTH    
1990,2017,KENWORTH    
1991,2017,KENWORTH    
1992,2017,KENWORTH    
1993,2017,KENWORTH    
1994,2017,KENWORTH    
1995,2017,KENWORTH    
1996,2016,KENWORTH    
1997,2017,KENWORTH    
1998,2017,KENWORTH    
1999,2017,KENWORTH    
2000,2017,KENWORTH    
2001,2017,KENWORTH    
2002,2017,KENWORTH    
2003,2017,KENWORTH    
2004,2017,KENWORTH    
2005,2017,KENWORTH    
2006,2017,KENWORTH    
2007,2017,KENWORTH    
2008,2017,KENWORTH    
2009,2017,KENWORTH    
2010,2017,KENWORTH    
2011,2017,KENWORTH    
2016,2017,KENWORTH    
2013,2017,KENWORTH    
2014,2017,KENWORTH    
2015,2017,KENWORTH    
2012,2017,KENWORTH    
2017,2017,KENWORTH    
2018,2017,KENWORTH    
2019,2017,KENWORTH    
2020,2017,KENWORTH    
2021,2017,KENWORTH    
2022,2018,KENWORTH    
2023,2018,KENWORTH    
2024,2018,KENWORTH    
2025,2018,KENWORTH    
2026,2018,KENWORTH    
2027,2018,KENWORTH    
2028,2017,KENWORTH    
2029,2017,KENWORTH    
2030,2018,KENWORTH    
2031,2018,KENWORTH    
2032,2018,KENWORTH    
2033,2018,KENWORTH    
2034,2018,KENWORTH    
2035,2018,KENWORTH    
203,2018,KENWORTH    
2037,2018,KENWORTH    
2038,2018,KENWORTH    
2039,2018,KENWORTH    
2040,2018,KENWORTH    
2041,2018,KENWORTH    
2042,2018,KENWORTH    
2043,2018,KENWORTH    
2044,2018,KENWORTH    
2045,2018,KENWORTH    
2046,2018,KENWORTH    
2036,2018,KENWORTH    
2047,2018,KENWORTH    
2048,2018,KENWORTH    
2049,2018,KENWORTH    
2050,2018,KENWORTH    
2051,2018,KENWORTH    
2052,2018,KENWORTH    
2053,2018,KENWORTH    
2054,2018,KENWORTH    
2055,2018,KENWORTH    
2056,2018,KENWORTH    
2057,2018,KENWORTH    
2058,2018,KENWORTH    
2059,2018,KENWORTH    
2060,2018,KENWORTH    
2061,2018,KENWORTH    
2062,2018,KENWORTH    
2063,2018,KENWORTH    
2064,2018,KENWORTH    
2065,2018,KENWORTH    
2066,2018,KENWORTH    
816,2015,PETERBILT   
2067,2018,KENWORTH    
2068,2018,KENWORTH    
2069,2018,KENWORTH    
2070,2018,KENWORTH    
2071,2018,KENWORTH    
2072,2018,KENWORTH    
